instance_4 -- 15 containers -- 3 carriers -- 5 chassis -- 10-day horizon,,,,,,,,,,,,,,
15.0,3.0,5.0,,300,15,,,,,,,,,
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
c,c,b,b,a,a,c,b,c,a,b,c,b,a,a
5,5,1,1,7,7,5,1,5,7,1,5,1,7,7
4.37,2.67,4.43,3.15,3.1,1.93,4.47,1.16,2.01,2.4,3.37,1.89,3.72,4.55,1.81
13,1,7,4,5,10,12,3,15,14,9,2,6,8,11
a,4,b,4,c,7,,,,,,,,,
a,150,b,150,c,150,,,,,,,,,
a,14,b,28,c,14,,,,,,,,,
a,50,b,50,c,50,,,,,,,,,
leg_1,0.125,leg_2,0.125,leg_3,0.125,,,,,,,,,
,,,,,,,,,,,,,,
